Hour,Minute,Second,Milliseconds,Day,Month,Year,Latitude,Longitude,Speed,Angle,Altitude,Thermo1,Thermo2,Thermo3,Thermo4,Pressure,Squeal
12,56,48,0,10,4,17,37.56737,-77.47727,0.09,69.40,267.61,138.07,17.11,15.52,14.31,474.36,0,
12,56,48,187,10,4,17,37.56737,-77.47727,0.09,69.40,267.61,138.02,17.17,15.52,14.31,474.22,0,
12,56,48,406,10,4,17,37.56737,-77.47727,0.18,69.40,323.85,137.30,16.45,15.47,14.48,474.94,0,
12,56,48,609,10,4,17,37.56737,-77.47727,0.21,69.40,314.33,136.92,16.51,15.30,14.53,475.75,0,
12,56,48,796,10,4,17,37.56737,-77.47727,0.25,69.40,301.50,137.03,16.23,15.36,14.53,474.84,0,
12,56,48,984,10,4,17,37.56737,-77.47727,0.26,69.40,301.06,137.36,16.07,15.63,14.53,473.03,0,
12,56,49,203,10,4,17,37.56737,-77.47727,0.16,69.40,314.74,137.08,16.18,15.52,14.59,473.60,0,
12,56,49,406,10,4,17,37.56737,-77.47727,0.13,69.40,309.32,137.14,16.12,15.52,14.59,473.65,0,
12,56,49,609,10,4,17,37.56737,-77.47727,0.13,69.40,309.32,136.81,15.91,15.80,14.59,474.32,0,
12,56,49,796,10,4,17,37.56737,-77.47727,0.15,69.40,315.24,136.81,16.18,16.01,14.81,476.32,0,
12,56,50,0,10,4,17,37.56737,-77.47727,0.20,69.40,317.40,136.86,16.29,16.01,14.53,478.46,0,
12,56,50,203,10,4,17,37.56737,-77.47727,0.20,69.40,317.40,136.86,16.12,15.91,14.53,478.42,0,